word,phonetic_symbol,part_of_speech,chinese_meaning,example_sentence
advice,/ədˈvaɪs/,n.,建议,"She gave me some good advice about my studies."
encourage,/ɪnˈkʌrɪdʒ/,v.,鼓励；激励,"My parents always encourage me to try new things."
retire,/rɪˈtaɪə(r)/,v.,退职；退休,"My grandfather plans to retire next year after working for 40 years."
cheerful,/ˈtʃɪəf(ə)l/,adj.,快乐的；高兴的,"She has a cheerful personality and always makes people smile."
community,/kəˈmjuːnəti/,n.,社区,"Our community organizes activities for children every weekend."
medical,/ˈmedɪkl/,adj.,医学的；医疗的,"He is studying at a medical school to become a doctor."
fried,/fraɪd/,adj.,油炸的；油煎的；油炒的,"I prefer fried rice rather than steamed rice."
wherever,/weərˈevə(r)/,conj.,各处；处处,"You can find happiness wherever you go."
future,/ˈfjuːtʃə(r)/,n.,将来；未来,"In the future, I want to be a scientist."
soon,/suːn/,adv.,很快；马上；不久,"The bus will arrive soon, please wait here."
smart,/smɑːt/,adj.,聪明的；机敏的,"She is very smart and always gets top grades in math."
attention,/əˈtenʃn/,n.,专心；注意力,"Please pay attention to the teacher during the lesson."
seldom,/ˈseldəm/,adv.,不常；很少；难得,"He seldom goes to the cinema these days."
bored,/bɔːd/,adj.,厌倦的；烦闷的,"I was bored during the long meeting yesterday."
strict,/strɪkt/,adj.,要求严格的；严厉的,"My father is strict about my study habits."
relative,/ˈrelətɪv/,n.,亲戚；亲属,"Many of my relatives will come to visit during the Spring Festival."
uniform,/ˈjuːnɪfɔːm/,n.,制服；校服,"All students in our school wear the same uniform."
personality,/ˌpɜːsəˈnæləti/,n.,性格；个性,"She has a friendly personality and gets along with everyone."
characteristic,/ˌkærəktəˈrɪstɪk/,n.,特点；品质,"One characteristic of dolphins is their intelligence."
topic,/ˈtɒpɪk/,n.,话题；标题,"Our discussion topic for today is environmental protection."
active,/ˈæktɪv/,adj.,忙碌的；活跃的,"She is very active in school clubs and sports teams."
smartphone,/ˈsmɑːtfəʊn/,n.,智能手机,"Most teenagers now have a smartphone for communication."
wisely,/ˈwaɪzli/,adv.,聪明地；明智地,"He wisely saved some money for future education."
competition,/ˌkɒmpəˈtɪʃn/,n.,比赛；竞赛,"Our school will participate in the music competition next month."
shower,/ˈʃaʊə(r)/,n.,淋浴,"I always take a shower after exercise."
online,/ˌɒnˈlaɪn/,adj.,在线的,"Many students take online courses during the pandemic."
site,/saɪt/,n.,建筑工地,"The construction site is closed on weekends."
narrow,/ˈnærəʊ/,adj.,狭窄的；窄小的,"The road to the village is very narrow and difficult to drive on."
superman,/ˈsuːpəmæn/,n.,超人,"Many children dream of being as strong as superman."
give up,/ɡɪv ʌp/,phr.,认输；放弃,"Don't give up when you face difficulties in your studies."
used to,/juːzd tuː/,phr.,曾经,"I used to play the piano when I was young."
in the future,/ɪn ðə ˈfjuːtʃə(r)/,phr.,在未来,"In the future, I want to become a doctor."
be strict about,/bi strɪkt əˈbaʊt/,phr.,对……要求严格,"My teacher is strict about homework deadlines."
be worried about,/bi ˈwʌrid əˈbaʊt/,phr.,担心,"My mother is always worried about my health."
wine,/waɪn/,n.,葡萄酒,"This restaurant serves excellent wine with dinner."
match,/mætʃ/,v.,配对,"Can you match the English words with their Chinese meanings?"
rich,/rɪtʃ/,adj.,丰富多彩的,"China has a rich culture with many traditions."
lie,/laɪ/,v.,位于；坐落在,"The city lies between two mountains."
café,/ˈkæfeɪ/,n.,咖啡馆；小餐馆,"We often meet at the café near our school."
excellent,/ˈeksələnt/,adj.,优秀的；极好的,"She received excellent marks on her English test."
coast,/kəʊst/,n.,海岸；海滨,"We spent our summer vacation on the coast of Hainan."
perfect,/ˈpɜːfɪkt/,adj.,正合适,"This sweater is perfect for cold winter days."
mostly,/ˈməʊstli/,adv.,主要地；通常,"The students in our class are mostly from Beijing."
receive,/rɪˈsiːv/,v.,接待；招待,"The hotel staff received us warmly when we arrived."
key,/kiː/,adj.,主要的；关键的,"Education is a key factor in a child's development."
remain,/rɪˈmeɪn/,v.,仍然是；保持不变,"Despite all the changes, some traditions remain the same."
lift,/lɪft/,n.,电梯；升降机,"We took the lift to the tenth floor of the building."
step,/step/,n.,台阶,"Be careful when you go up these steps as they are quite steep."
stair,/steə(r)/,n.,楼梯,"The old house has a beautiful wooden stair leading to the second floor."
motorcycle,/ˈməʊtəsaɪkl/,n.,摩托车,"My brother rides a motorcycle to work every day."
sightseeing,/ˈsaɪtsiːɪŋ/,n.,观光；游览,"We spent the day sightseeing in the ancient city."
imagine,/ɪˈmædʒɪn/,v.,想象；设想,"Can you imagine what life will be like in 100 years?"
destination,/ˌdestɪˈneɪʃn/,n.,目的地；终点,"Paris is a popular tourist destination for people all over the world."
address,/əˈdres/,n.,住址；地址,"Please write your full address on this form."
government,/ˈɡʌvənmənt/,n.,政府,"The government has announced new policies for education."
unique,/juˈniːk/,adj.,独特的；罕见的,"Every person has a unique set of fingerprints."
endangered,/ɪnˈdeɪndʒəd/,adj.,濒危的,"Giant pandas are no longer an endangered species."
stretch,/stretʃ/,v.,延伸；绵延,"The Great Wall stretches for thousands of kilometers."
huge,/hjuːdʒ/,adj.,巨大的；极多的,"There was a huge crowd at the concert last night."
wild,/waɪld/,adj.,野的；野生的,"There are still some wild elephants living in the forest."
discover,/dɪˈskʌvə(r)/,v.,了解到；查明,"Scientists discover new species of animals every year."
volcano,/vɒlˈkeɪnəʊ/,n.,火山,"The volcano has been dormant for over 100 years."
range,/reɪndʒ/,n.,山脉,"The Himalayas is the highest mountain range in the world."
snowmobile,/ˈsnəʊməbiːl/,n.,雪地机动车,"In winter, many people use snowmobiles to travel in snowy areas."
wolf,/wʊlf/,n.,狼,"Wolves usually hunt in packs at night."
department store,/dɪˈpɑːtmənt stɔː/,phr.,百货商店,"We bought Christmas gifts at the department store downtown."
prefer to,/prɪˈfɜː tuː/,phr.,更喜欢,"I prefer to study in the morning when my mind is fresh."
by hand,/baɪ hænd/,phr.,用手工,"This beautiful sweater was made by hand."
go sightseeing,/ɡəʊ ˈsaɪtsiːɪŋ/,phr.,去观光,"We plan to go sightseeing in the old town tomorrow."
go on a trip,/ɡəʊ ɒn ə trɪp/,phr.,去旅行,"Our family will go on a trip to Europe next summer."
set up,/set ʌp/,phr.,建立,"We need to set up a meeting to discuss this project."
giant panda,/ˈdʒaɪənt ˈpændə/,phr.,大熊猫,"The giant panda is a national treasure of China."
in the wild,/ɪn ðə waɪld/,phr.,在野外,"It's rare to see tigers in the wild nowadays."
all year round,/ɔːl jɪə raʊnd/,phr.,全年,"The temperature remains mild all year round in this region."
golden monkey,/ˈɡəʊldən ˈmʌŋki/,phr.,金丝猴,"The golden monkey is an endangered species in China."
go hiking,/ɡəʊ ˈhaɪkɪŋ/,phr.,去远足,"We plan to go hiking in the mountains this weekend."
hot spring,/hɒt sprɪŋ/,phr.,温泉,"Japan is famous for its natural hot springs."
branch,/brɑːntʃ/,n.,树枝,"The bird built its nest on a high branch of the tree."
root,/ruːt/,n.,根；根茎,"The roots of this tree go deep into the soil."
silent,/ˈsaɪlənt/,adj.,不说话的；沉默的,"The classroom was silent as students took the exam."
overlook,/ˌəʊvəˈlʊk/,v.,忽略；未注意到,"Don't overlook the importance of daily exercise."
human,/ˈhjuːmən/,n.,人,"Humans have greatly changed the natural environment."
oxygen,/ˈɒksɪdʒən/,n.,氧；氧气,"Plants produce oxygen during photosynthesis."
create,/kriˈeɪt/,v.,创造,"Artists create beautiful works with their imagination."
environment,/ɪnˈvaɪrənmənt/,n.,自然环境,"We should all work to protect our environment."
convenient,/kənˈviːniənt/,adj.,便利的；方便的,"Online shopping is very convenient for busy people."
furniture,/ˈfɜːnɪtʃə(r)/,n.,家具,"They bought new furniture for their apartment."
wood,/wʊd/,n.,木；木头,"This table is made of high-quality wood."
treat,/triːt/,v.,以……态度对待,"We should treat all people with respect."
communicate,/kəˈmjuːnɪkeɪt/,v.,交流；沟通,"It's important to communicate clearly with your team members."
species,/ˈspiːʃiːz/,n.,种；物种,"Many species of animals are in danger of extinction."
product,/ˈprɒdʌkt/,n.,产品；制品,"This company sells organic food products."
side,/saɪd/,n.,一面,"Please write your name on both sides of the paper."
borrow,/ˈbɒrəʊ/,v.,借；借用,"Can I borrow your dictionary for a moment?"
dig,/dɪɡ/,v.,掘(地)；凿(洞)；挖(土),"The workers are digging a hole for the new swimming pool."
hole,/həʊl/,n.,洞；孔；坑,"There's a small hole in my sock that needs to be fixed."
stick,/stɪk/,n.,棍；条,"The dog was running around with a stick in its mouth."
accident,/ˈæksɪdənt/,n.,意外；偶然的事,"He had a minor car accident on his way to work."
knowledge,/ˈnɒlɪdʒ/,n.,知识；学问,"Reading books can increase your knowledge in many areas."
character,/ˈkærəktə(r)/,n.,文字,"Chinese characters are beautiful but difficult to learn."
spread,/spred/,v.,传播,"News can spread very quickly on social media."
translation,/trænzˈleɪʃn/,n.,译文；译本,"The translation of this book into Chinese is excellent."
take in,/teɪk ɪn/,phr.,吸收；摄入,"Plants take in carbon dioxide from the air."
greenhouse gas,/ˈɡriːnhaʊs ɡæs/,phr.,温室气体,"Reducing greenhouse gas emissions is important for fighting climate change."
to begin with,/tə bɪˈɡɪn wɪð/,phr.,首先；第一点,"To begin with, let me explain the basic rules of the game."
come from,/kʌm frɒm/,phr.,来自,"These fresh vegetables come from local farms."
look around,/lʊk əˈraʊnd/,phr.,环视；环顾；四下察看,"Let's look around the museum before we leave."
be made of,/bi meɪd ɒv/,phr.,由……制成,"This jacket is made of waterproof material."
for example,/fɔːr ɪɡˈzɑːmpl/,phr.,例如；譬如,"Many animals, for example lions and tigers, are endangered."
communicate with,/kəˈmjuːnɪkeɪt wɪð/,phr.,与……沟通,"It's important to communicate with your teammates during the game."
call on,/kɔːl ɒn/,phr.,号召；动员；要求,"The president called on all citizens to save energy."
according to,/əˈkɔːdɪŋ tuː/,phr.,据(所说)；按(……所报道),"According to the weather forecast, it will rain tomorrow."
by accident,/baɪ ˈæksɪdənt/,phr.,偶然；意外地,"I met my old friend by accident at the supermarket yesterday."
dolphin,/ˈdɒlfɪn/,n.,海豚,"Dolphins are known to be very intelligent marine animals."
hen,/hen/,n.,母鸡,"The hen laid three eggs this morning."
blind,/blaɪnd/,adj.,瞎的；失明的,"Guide dogs help blind people move around safely."
wool,/wʊl/,n.,（羊等的）毛,"This warm sweater is made of pure wool."
sir,/sɜː(r)/,n.,先生,"Excuse me, sir, could you help me with my luggage?"
receptionist,/rɪˈsepʃənɪst/,n.,接待员,"The receptionist welcomed us to the hotel."
allow,/əˈlaʊ/,v.,允许进入(或出去、通过),"Dogs are not allowed in this restaurant."
apologize,/əˈpɒlədʒaɪz/,v.,道歉,"I want to apologize for being late to the meeting."
asleep,/əˈsliːp/,adj.,睡着,"The baby fell asleep in her mother's arms."
smoke,/sməʊk/,n.,烟,"There was smoke coming from the kitchen."
fireman,/ˈfaɪəmən/,n.,消防队员,"The fireman rescued the cat from the tree."
type,/taɪp/,n.,类型；种类,"What type of music do you enjoy listening to?"
search-and-rescue,/ˌsɜːtʃ ənd ˈreskjuː/,n.,搜索救援,"Search-and-rescue teams were sent to help after the earthquake."
service,/ˈsɜːvɪs/,n.,服务,"This hotel offers excellent service to its guests."
disaster,/dɪˈzɑːstə(r)/,n.,灾难；灾害,"The flood was the worst natural disaster in the region's history."
guest,/ɡest/,n.,旅客；房客,"The hotel can accommodate up to 200 guests."
team,/tiːm/,n.,组；班,"Our team won the basketball competition last week."
transport,/trænˈspɔːt/,v.,运输；运送,"The company transports fresh fruit from farms to supermarkets."
guard,/ɡɑːd/,v.,守卫；保卫,"Soldiers guard the entrance to the palace."
honey,/ˈhʌni/,n.,蜂蜜,"I like to put a little honey in my tea instead of sugar."
material,/məˈtɪəriəl/,n.,材料；原料,"What material is this shirt made of?"
either,/ˈaɪðə(r)/,adv.,也,"If you don't go to the party, I won't go either."
shark,/ʃɑːk/,n.,鲨鱼,"Great white sharks are one of the largest predatory fish."
scared,/skeəd/,adj.,害怕；恐惧,"The little boy was scared of the dark."
grey,/ɡreɪ/,adj.,灰色的,"The sky was grey before it started to rain."
somewhere,/ˈsʌmweə(r)/,adv.,在某处；到某处,"I left my keys somewhere in the house."
probably,/ˈprɒbəbli/,adv.,很可能；大概,"It will probably rain tomorrow, so take an umbrella."
source,/sɔːs/,n.,来源；出处,"The river Thames is an important source of water for London."
sometime,/ˈsʌmtaɪm/,adv.,在某时,"Let's meet for coffee sometime next week."
extinct,/ɪkˈstɪŋkt/,adj.,已灭绝的；绝种的,"Dinosaurs became extinct millions of years ago."
effort,/ˈefət/,n.,艰难的尝试；试图,"He made a great effort to finish the project on time."
lead (somebody) to,/liːd ˈsʌmbədi tuː/,phr.,带着(某人)到,"The guide led us to the top of the mountain."
fall asleep,/fɔːl əˈsliːp/,phr.,入睡；睡着,"I often fall asleep while watching TV at night."
get down,/ɡet daʊn/,phr.,俯身；趴下；跪下,"The soldiers were ordered to get down when they heard gunfire."
fire engine,/ˈfaɪər ˈendʒɪn/,phr.,消防车,"The children were excited to see the bright red fire engine."
everyday,/ˈevrɪdeɪ/,adj.,每天的；日常的,"These are everyday problems that many people face."
form,/fɔːm/,n.,类型；种类,"What form of transportation do you use to get to work?"
journey,/ˈdʒɜːni/,n.,（尤指长途）旅行,"The journey from Beijing to Shanghai takes about five hours by high-speed train."
drop,/drɒp/,n.,滴；水珠,"There were drops of rain on the window."
tap,/tæp/,n.,水龙头,"Please turn off the tap when you finish washing your hands."
voice,/vɔɪs/,n.,说话声,"I recognized her voice on the phone immediately."
eventually,/ɪˈventʃuəli/,adv.,最后；终于,"After many attempts, he eventually succeeded in solving the problem."
pipe,/paɪp/,n.,管子；管道,"The water flows through pipes beneath the street."
return,/rɪˈtɜːn/,v.,回去；返回,"When do you plan to return to your hometown?"
rush,/rʌʃ/,v.,迅速移动,"We had to rush to catch the last bus home."
bath,/bɑːθ/,n.,洗澡；洗浴,"I like to take a hot bath after a long day."
salt,/sɔːlt/,adj.,含盐的；咸的,"The soup tastes too salt; I can't eat it."
brain,/breɪn/,n.,脑,"The human brain is incredibly complex."
